Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,62226;223945;23809;24512;48321;-1,44785;3,14553;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;5,88224;223945;4972;4310;9282;1,51874;1,68059;1;1;
01;Østfold;;;;;RØDT;Rødt;4,52607;223945;3987;3155;7142;2,38433;0,3457;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,21256;223945;9663;12764;22427;5,55128;-3,07816;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,3467;223945;2449;2832;5281;-0,85805;-0,23207;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,85747;223945;2703;1806;4509;0,27593;-3,13633;0;0;
01;Østfold;;;;;V;Venstre;2,81184;223945;2075;2362;4437;0,40401;0,92665;0;0;
01;Østfold;;;;;H;Høyre;18,74497;223945;14973;14606;29579;-5,08609;0,94333;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,79175;223945;8994;11191;20185;-4,74681;3,88541;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10647;223945;74;94;168;0,10647;0,10647;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,47151;223945;1226;1096;2322;1,3492;1,24523;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17681;223945;138;141;279;0,17681;-3,89948;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24589;223945;203;185;388;-0,25897;-0,21694;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14005;223945;106;115;221;0,14005;0,14005;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42776;223945;350;325;675;0,10637;-0,21482;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,1597;223945;108;144;252;-0,0615;-0,11074;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09189;223945;63;82;145;0,09189;-0,15332;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,17746;223945;1136;722;1858;0,3369;-0,87645;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20659;223945;165;161;326;0,20659;0,20659;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,87137;223945;530;845;1375;-0,06613;-1,4924;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,97167;471106;52256;39899;92155;-0,3609;3,37764;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,59614;471106;14123;9282;23405;1,36241;1,78547;1;0;
02;Akershus;;;;;RØDT;Rødt;3,87172;471106;8343;5395;13738;1,94227;0,79839;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,85694;471106;16388;15039;31427;2,9559;-0,67182;2;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,05874;471106;4130;3175;7305;-0,31011;-0,21511;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;4,55882;471106;11106;5070;16176;0,91933;-4,25599;1;0;
